Line,1,2,3,4,5,Total
AnnualSum,6237.966508365467,10676.84544273184,10332.151840123635,3896.4829090695225,3374.908906820361,34518.355607110825
t1,7119.3383965887215,11805.292426209386,10474.095762022385,2957.4817130769907,3186.655548241479,35542.863846138964
t2,6758.210915022229,11244.266452398497,10474.092936319215,2986.4259992980083,3106.772566025277,34569.76886906323
t3,6225.468219655803,10504.448330555737,10474.092823222567,3001.2138931149225,2999.1453034953206,33204.36857004435
t4,5541.06963428429,9610.768634066644,10474.092733000714,2988.84425102947,2863.8114957890875,31478.586748170204
t5,4889.457327626721,8790.372184698985,10474.092653802038,2986.1701481259024,2714.716362992849,29854.80867724649
t6,3940.7649030902962,7434.42229666139,10474.092508400761,2885.0584685557988,2476.5484091092458,27210.88658581749
t7,3286.1222204811793,6472.912524766752,10474.092391847877,2765.3760191165343,2277.5919395573464,25276.095095769688
t8,1548.1306124150813,3290.6462964787765,10474.091721726489,1986.6344015695604,1426.2696357162156,18725.772667906123
t9,1056.8382168957246,0.13873389928852387,7133.2543772079225,863.8378295394665,0.1371392198361227,9054.206296762239
t10,20265.299989985633,25523.09998979377,10474.19999036626,15359.399990173068,6230.699990529735,77852.69995084847
t11,20265.299989986997,25523.099989777842,10474.199990364874,15359.399990171045,6230.6999905302255,77852.69995083098
t12,20265.299989991014,25523.09998976763,10474.199990366335,15359.399990179476,6230.699990529704,77852.69995083415
t13,20265.299989981348,25523.0999897857,10474.199990362858,15359.399990172235,6230.699990529278,77852.69995083142
t14,20265.299989977688,25523.09998976435,10474.19999036138,15359.3999901775,6230.6999905308185,77852.69995081173
t15,20265.299989983916,25523.099989792776,10474.19999036284,15359.399990171038,6230.699990529251,77852.69995083981
t16,20265.299989976622,25523.099989772403,10474.199990358522,15359.399990172604,6230.699990525733,77852.6999508059
t17,1089.109127069485,2068.7837471163994,10474.090861050798,1362.61262232773,1120.0930176382017,16114.689375202612
t18,3920.3695595736713,7522.858948688648,10474.09255877894,2654.620223080448,2583.3463606810496,27155.28765080276
t19,4819.418382214471,9078.861234216736,10474.092693999897,2781.3755963822373,2810.431204419448,29964.179111232792
t20,4788.0222800721185,9000.009074668562,10474.092655570523,2778.6068047824087,2801.205273552841,29841.936088646453
t21,4725.146678242269,8888.806701896698,10474.092631227586,2770.6737553640796,2786.710302597618,29645.43006932825
t22,5654.474728391073,10255.1751455005,10474.092795703757,2782.892353930237,3006.1465123165326,32172.7815358421
t23,6398.415583148472,11501.026209255819,10474.160119272714,2756.0253411627077,3178.0837070635403,34307.710959903256
t24,6520.372769243527,11726.734683680528,10474.160194381313,2738.443708819081,3211.531774900935,34671.24313102538
t25,6501.010455770554,11641.395088067959,10474.160173731467,2710.2830783071045,3217.3510292389196,34544.199825116004
t26,6443.946313362128,11482.762087394702,10474.160048706379,2719.6919343085806,3198.289509244909,34318.8498930167
t27,6620.608038882834,11532.974722945752,10474.152918442678,2753.755014156513,3205.062371522953,34586.55306595073
t28,6320.599321621671,10951.9660150221,10474.092897962728,2778.754351201883,3129.0927151026344,33654.50530091102
t29,5385.011653763642,9660.597265898983,10474.092728948694,2734.7063877016917,2955.543533815971,31209.951570128982
t30,4436.609050760088,8318.597774800957,10474.0925966125,2683.128790921445,2736.8568348964923,28649.28504799148
t31,3769.221192272309,7320.200091774246,10474.09249901273,2627.7450008050655,2544.3390450863967,26735.597828950747
t32,1907.5586116295815,4052.367340192982,10474.09194993254,2032.6308890100297,1763.760474165214,20230.409264930346
t33,990.7982202847926,0.13857693308476338,8201.573130389314,668.6541112274547,0.13723443635815746,9861.301273271005
t34,20265.299989984564,25523.099989760954,10474.199990359366,15359.399990172655,6230.699990529799,77852.69995080733
t35,20265.2999899857,25523.099989773582,10474.19999036369,15359.399990171789,6230.69999053018,77852.69995082494
t36,20265.299989976338,25523.099989776238,10474.19999036217,15359.399990175498,6230.699990530532,77852.69995082077
t37,20265.299989985102,25523.099989772312,10474.199990365258,15359.399990171705,6230.699990530334,77852.69995082471
t38,20265.299989979747,25523.09998976543,10474.19999036781,15359.39999017999,6230.699990530931,77852.69995082391
t39,20265.29998997002,25523.099989763286,10474.199990353827,15359.399990163918,6230.699990523068,77852.69995077411
t40,2082.424162354973,931.6338940906311,10474.086886136465,877.304077159864,1464.1586567065995,15829.607676448531
t41,5404.291072306545,7232.360051989495,10474.088541841298,2332.3745990010466,3003.532226485303,28446.646491623687
t42,7904.084904993328,12350.289601424414,10474.152718585721,2716.4588283821913,3387.350156239437,36832.33620962509
t43,6383.6676584199995,11579.155067673777,10474.153234844824,2658.5604455947982,3224.639671699308,34320.17607823271
t44,6387.075265127152,11563.773424314135,10474.153193773964,2716.546945582908,3197.533297137993,34339.08212593615
t45,6450.822267361399,11569.43792869737,10474.153170318745,2772.6317562220156,3179.8405240875054,34446.885646687035
t46,6206.746249011796,11439.43384984703,10474.153190750683,2672.562647107976,3190.613024183841,33983.50896090132
t47,5728.33881745777,11296.172577267755,10474.159874790405,2527.7666310739983,3196.049150639446,33222.48705122937
t48,5740.487827671424,11474.970396650006,10474.159944028657,2473.907718895144,3235.3845668467325,33398.910454091965
t49,5568.560886802554,11228.780078186568,10474.159905080105,2436.6980848251287,3220.3408468172593,32928.53980171162
t50,5430.8345731279405,11048.513641043313,10474.1534952581,2421.9489357473954,3200.623582185971,32576.074227362715
t51,5884.275610190784,11237.583339491266,10474.153211230383,2540.4153691907986,3206.1748309649806,33342.60236106821
t52,6688.107709141708,11561.012725508124,10474.153052505633,2741.855200356407,3218.513805862642,34683.642493374515
t53,6381.595274903005,10842.922822896702,10474.092864173346,2836.679374860733,3104.373945231117,33639.66428206491
t54,5226.055463522113,9276.513280000545,10474.092692885864,2831.743548051579,2864.262530629224,30672.667515089324
t55,4380.651492515017,8171.615524779695,10474.092590990538,2832.267523667194,2646.4714045960545,28505.098536548496
t56,2436.2716227048136,4681.788519093234,10474.09216467059,2327.5861406934905,1976.3144249405261,21896.052872102653
t57,1050.5251913796926,0.13897938020085054,8843.499272203218,661.4548103182642,0.13751099861820232,10555.755764279995
t58,20265.299989985186,25523.09998976972,10474.199990363177,15359.399990176009,6230.699990527563,77852.69995082165
t59,20265.29998997744,25523.099989787122,10474.199990364175,15359.39999017213,6230.699990528936,77852.69995082982
t60,20265.299989988125,25523.09998978698,10474.199990365001,15359.399990179012,6230.69999053066,77852.69995084977
t61,20265.299989987543,25523.099989775757,10474.199990365916,15359.399990171916,6230.699990530468,77852.69995083161
