Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
East,East_batteries_1,1,1,17043.027523260178,17043.027523260178
East,East_conventional_hydroelectric_1,1,1,529902.2195792287,529902.2195792287
East,East_landfill_gas_1,1,1,444711.0363332543,444711.0363332543
East,East_natural_gas_internal_combustion_engine_1,1,1,592948.0484287706,592948.0484287706
East,East_petroleum_liquids_with_gt_1,1,1,2.3347329407209747e7,2.3347329407209747e7
East,East_petroleum_liquids_with_ic_1,1,1,741185.0605397628,741185.0605397628
East,East_solar_photovoltaic_1,1,1,1.9023810684908522,1.9023810684908522
North,North_conventional_hydroelectric_1,2,1,2.9706638866071976e6,2.9706638866071976e6
North,North_landfill_gas_1,2,1,444711.03632963635,444711.03632963635
North,North_natural_gas_internal_combustion_engine_1,2,1,4.1506363390943254e6,4.1506363390943254e6
North,North_onshore_wind_turbine_1,2,1,2856.9567898355585,2856.9567898355585
North,North_petroleum_liquids_with_cc_1,2,1,7.956621625066286e7,7.956621625066286e7
North,North_petroleum_liquids_with_gt_1,2,1,9.044310701293512e7,9.044310701293512e7
North,North_petroleum_liquids_with_st_1,2,1,5.687233675415511,5.687233675415511
North,North_solar_photovoltaic_1,2,1,0.6768372143734639,0.6768372143734639
South,South_batteries_1,3,1,73853.13248838189,73853.13248838189
South,South_conventional_hydroelectric_1,3,1,3.709315443540808e6,3.709315443540808e6
South,South_natural_gas_fired_combined_cycle_1,3,1,1.074718337804835e8,1.074718337804835e8
South,South_natural_gas_steam_turbine_1,3,1,1.4186282058578935e8,1.4186282058578935e8
South,South_onshore_wind_turbine_1,3,1,329161.97421268944,329161.97421268944
South,South_petroleum_liquids_with_gt_1,3,1,1.5564886271627892e7,1.5564886271627892e7
South,South_petroleum_liquids_with_st_1,3,1,1.6479205722355017e8,1.6479205722355017e8
South,South_solar_photovoltaic_1,3,1,2.1284562714627295,2.1284562714627295
West,West_batteries_1,4,1,238602.43915672463,238602.43915672463
West,West_petroleum_liquids_with_gt_1,4,1,4.076517833046396e7,4.076517833046396e7
West,West_petroleum_liquids_with_ic_1,4,1,667066.5544315007,667066.5544315007
West,West_solar_photovoltaic_1,4,1,2.2299742212511946,2.2299742212511946
East,East_battery_moderate_0,1,0,2.0368149113352914,2.0368149113352914
East,East_naturalgas_ctavgcf_moderate_0,1,0,0.2742890771856209,0.2742890771856209
East,East_naturalgas_ccavgcf_moderate_0,1,0,0.18967887267706693,0.18967887267706693
East,East_microgrid_solar_moderate_0,1,0,6.678517650342427e-13,6.678517650342427e-13
East,East_microgrid_diesel_moderate_0,1,0,8.996924018244412e6,8.996924018244412e6
East,East_utilitypv_class1_moderate_1,1,1,29.71920077706985,29.71920077706985
East,East_landbasedwind_class3_moderate_1,1,1,804709.4961642623,804709.4961642623
North,North_battery_moderate_0,2,0,2.0369159053086583,2.0369159053086583
North,North_naturalgas_ctavgcf_moderate_0,2,0,0.27430091193895584,0.27430091193895584
North,North_naturalgas_ccavgcf_moderate_0,2,0,0.18968579455886111,0.18968579455886111
North,North_microgrid_solar_moderate_0,2,0,7.088855592539185e-13,7.088855592539185e-13
North,North_microgrid_diesel_moderate_0,2,0,4.080454825393651e7,4.080454825393651e7
North,North_utilitypv_class1_moderate_1,2,1,48.59488812388719,48.59488812388719
North,North_landbasedwind_class3_moderate_1,2,1,559136.4738463247,559136.4738463247
South,South_battery_moderate_0,3,0,2.03668904040996,2.03668904040996
South,South_naturalgas_ctavgcf_moderate_0,3,0,0.274277942020373,0.274277942020373
South,South_naturalgas_ccavgcf_moderate_0,3,0,0.18967242296921988,0.18967242296921988
South,South_microgrid_solar_moderate_0,3,0,5.885245095024862e-13,5.885245095024862e-13
South,South_microgrid_diesel_moderate_0,3,0,2.4598915529808864e7,2.4598915529808864e7
South,South_utilitypv_class1_moderate_1,3,1,38.666281757469775,38.666281757469775
South,South_landbasedwind_class3_moderate_1,3,1,633291.6467671954,633291.6467671954
West,West_battery_moderate_0,4,0,2.036787185622037,2.036787185622037
West,West_naturalgas_ctavgcf_moderate_0,4,0,0.27428991983416146,0.27428991983416146
West,West_naturalgas_ccavgcf_moderate_0,4,0,0.18967931853690315,0.18967931853690315
West,West_microgrid_solar_moderate_0,4,0,7.368142675158453e-13,7.368142675158453e-13
West,West_microgrid_diesel_moderate_0,4,0,1.148741291757558e7,1.148741291757558e7
West,West_utilitypv_class1_moderate_1,4,1,1.9637448218450359e-7,1.9637448218450359e-7
West,West_landbasedwind_class3_moderate_1,4,1,1.2978413693687909e6,1.2978413693687909e6
North,North_to_south_underground_line,2,0,0.0,0.0
East,North_to_east_underground_line,1,0,0.0,0.0
West,South_to_west_underground_line,4,0,0.0,0.0
