Constraint,CapRes_1
t1,3.795414754055065e-5
t2,3.6248713746456383e-5
t3,3.4121792399837214e-5
t4,3.1840726679814196e-5
t5,2.9846397070565374e-5
t6,2.702320652668497e-5
t7,2.52309986962771e-5
t8,2.1307953514993618e-5
t9,1.6234495186610962e-5
t10,1.326729420991876e-5
t11,1.1354606191654919e-5
t12,1.083356692839316e-5
t13,1.1388746506566595e-5
t14,1.2288761650271795e-5
t15,1.3632582539075959e-5
t16,1.5666305401706195e-5
t17,2.0711204168374202e-5
t18,2.78953602500404e-5
t19,3.016798637838273e-5
t20,2.9920387572501197e-5
t21,2.9607819052924035e-5
t22,3.367742519363435e-5
t23,3.94966521253361e-5
t24,4.0321620278274526e-5
t25,4.0075963380950214e-5
t26,3.947540019415087e-5
t27,3.782290015103212e-5
t28,3.475463144780201e-5
t29,3.1337833344238744e-5
t30,2.8340784649535755e-5
t31,2.6401053023110415e-5
t32,2.215219503429922e-5
t33,1.667317014759442e-5
t34,1.3922124956000059e-5
t35,1.2331724503910336e-5
t36,1.2392443080841788e-5
t37,1.3480437187069698e-5
t38,1.522440919553919e-5
t39,1.7254686461284952e-5
t40,2.1196603055626898e-5
t41,2.9457672446978887e-5
t42,4.234588930712968e-5
t43,4.770567443452032e-5
t44,4.747697825750823e-5
t45,4.580118253640285e-5
t46,4.8486651804147165e-5
t47,5.634246595368039e-5
t48,5.718402598257114e-5
t49,5.542835828592929e-5
t50,5.378314748905387e-5
t51,4.773555478456217e-5
t52,3.9703168891115085e-5
t53,3.4671964537109885e-5
t54,3.0714325701944924e-5
t55,2.8336941347437596e-5
t56,2.337445376953514e-5
t57,1.708195284226243e-5
t58,1.5325109469814588e-5
t59,1.378606435210156e-5
t60,1.3315825147956954e-5
t61,1.4211165463083286e-5
t62,1.5802692174867043e-5
t63,1.76275226202285e-5
t64,2.1766698341051566e-5
t65,3.0475953829518765e-5
t66,5.029915251388969e-5
t67,6.129033374881434e-5
t68,5.9701314194443706e-5
t69,5.468594071489923e-5
t70,5.6712897282717374e-5
t71,7.307853176767259e-5
t72,7.681974771176861e-5
t73,7.218656552324259e-5
t74,6.536201193969339e-5
t75,5.937428399028044e-5
t76,5.226128558872777e-5
t77,4.4323155870786576e-5
t78,3.8555035332368744e-5
t79,3.368250127960036e-5
t80,2.7190993693055122e-5
t81,1.9381248256445355e-5
t82,1.5423496230050243e-5
t83,1.2994732242453808e-5
t84,1.2614463720854645e-5
t85,1.3306862574735345e-5
t86,1.463432611883728e-5
t87,1.6721671942961285e-5
t88,2.06221856566187e-5
t89,2.786529857134758e-5
t90,4.464161278806555e-5
t91,4.938366290700968e-5
t92,4.773596040119816e-5
t93,4.435143780983058e-5
t94,4.852429760520298e-5
t95,5.207101440333132e-5
t96,5.261239718375622e-5
t97,5.2857385510401534e-5
t98,5.238883238782269e-5
t99,4.941612974862898e-5
t100,4.491032520187301e-5
t101,3.6621457611608716e-5
t102,3.339510534853952e-5
t103,3.1389317379349995e-5
t104,2.533212401970152e-5
t105,1.8638045699612558e-5
t106,1.5337813963802175e-5
t107,1.3439677805557379e-5
t108,1.3090616630816432e-5
t109,1.3925667411038998e-5
t110,1.4763496291212952e-5
t111,1.675524811650707e-5
t112,2.0240467917577988e-5
t113,2.656157683570828e-5
t114,4.0187168379506633e-5
t115,4.908060012536216e-5
t116,5.083654166691454e-5
t117,5.0583340745884295e-5
t118,5.7260852847415306e-5
t119,6.334891574294872e-5
t120,6.0508760123333326e-5
t121,5.638740894280339e-5
t122,5.152964024187771e-5
t123,4.6314472910167614e-5
t124,4.011362884780586e-5
t125,3.543296780945398e-5
t126,3.27555976001109e-5
t127,3.0408118018213943e-5
t128,2.5383973904463505e-5
t129,1.8149529301802097e-5
t130,1.5234891940877095e-5
t131,1.3673040773426516e-5
t132,1.3717528212018708e-5
t133,1.5021586086188876e-5
t134,1.7011595584069635e-5
t135,2.011825700329801e-5
t136,2.459990827174484e-5
t137,3.464100223032428e-5
t138,5.459657896852852e-5
t139,6.385646702864521e-5
t140,6.0097230084390834e-5
t141,5.5768839889452995e-5
t142,6.080672949062637e-5
t143,6.915398589214178e-5
t144,6.765248465165131e-5
t145,6.107042892641335e-5
t146,5.398311172372134e-5
t147,4.8265867176278417e-5
t148,4.226579681107477e-5
t149,3.714039256664379e-5
t150,3.332741726585103e-5
t151,3.0437000623560506e-5
t152,2.452364521473862e-5
t153,1.7685156369711353e-5
t154,1.4269648148286112e-5
t155,1.2276345692971757e-5
t156,1.1988914511379252e-5
t157,1.2605945227440442e-5
t158,1.4103711255124264e-5
t159,1.615503589003196e-5
t160,1.9486331161369587e-5
